"Netherlands","Amsterdam","52.21N","004.54E"
"Netherlands Antilles","Willemstad","12.12N","068.56W"
"New Caledonia","Nouméa","22.16S","166.26E"
"New Zealand","Wellington","41.17S","174.47E"
"Nicaragua","Managua","12.06N","086.18W"
"Niger","Niamey","13.32N","002.05E"
"Nigeria","Lagos","06.27N","003.28E"
"Niue","Alofi","14.27S","178.05W"
"Norway","Oslo","59.55N","010.45E"
"Oman","Muscat","23.37N","058.38E"
"Pakistan","Islamabad","33.40N","073.08E"
"Palau","Koror","07.21N","134.31E"
"Panama","Panama City","08.58N","079.32W"
"Papua New Guinea","Port Moresby","09.30S","014.07E"
"Paraguay","Asunción","25.15S","057.40W"
"Peru","Lima","12.06S","077.03W"
"Philippines","Manila","14.37N","120.58E"
"Poland","Warsaw","52.15N","021.00E"
"Portugal","Lisbon","38.44N","009.08W"
"Puerto Rico","San Juan","18.28N","006.07W"
"Qatar","Doha","25.15N","051.36E"
"Réunion","Saint-Denis","20.52S","055.27E"
"Romania","Bucharest","44.25N","026.07E"
"Russian Federation","Moscow","55.45N","037.42E"
"Rwanda","Kigali","01.56S","030.04E"
"San Marino","San Marino","43.56N","012.26E"
"São Tomé and Principe","São Tomé","00.19N","006.43E"
"Saudi Arabia","Riyadh","24.39N","046.46E"
"Senegal","Dakar","14.38N","017.27W"
"Seychelles","Victoria","04.38S","055.28E"
"Sierra Leone","Freetown","08.30N","013.17W"
"Singapore","Singapore","01.18N","103.50E"
"Slovakia","Bratislava","48.10N","017.10E"
"Slovenia","Ljubljana","46.04N","014.30E"
"Solomon Islands","Honiara","09.28S","159.57E"
"Somalia","Mogadishu","02.02N","045.21E"
"South Africa","Pretoria","25.45S","028.12E"
"Spain","Madrid","40.25N","003.43W"
"Sri Lanka","Colombo","06.55N","079.52E"
"St Christopher and Nevis","Basseterre","16.00N","061.43W"
"St Lucia","Castries","14.01N","060.59W"
"St Vincent and the Grenadines","Kingstown","13.12N","061.14W"
"Sudan","Khartoum","15.33N","032.32E"
"Surinam","Paramaribo","05.52N","055.14W"
"Swaziland","Mbabane","26.20S","031.08E"
"Sweden","Stockholm","59.20N","001.03E"
"Switzerland","Bern","46.57N","007.26E"
"Syria","Damascus","33.30N","036.19E"
"Taiwan","Taipei","25.50N","121.32E"
"Tajikistan","Dushanbe","38.38N","068.51E"
"Tanzania","Dodoma","06.10S","035.40E"
"Thailand","Bangkok","13.44N","100.30E"
"Togo","Lomé","06.10N","001.21E"
"Tonga","Nuku'alofa","21.09S","175.14W"
"Trinidad and Tobago","Port-of-Spain","10.38N","061.31W"
"Tunisia","Tunis","36.48N","010.11E"
"Turkey","Ankara","39.55N","032.50E"
"Turkmenistan","Ashkhabad","37.58N","058.24E"
"Turks and Caicos Islands","Cockburn Harbour","21.30N","071.30W"
"Tuvalu","Fongafale","08.30S","179.12E"
"Uganda","Kampala","00.19N","032.35E"
"Ukraine","Kiev","50.25N","030.30E"
"United Arab Emirates","Abu Dhabi","24.28N","054.25E"
"United Kingdom","London","51.30N","000.10W"
"United States of America","Washington","38.55N","077.00W"
"Uruguay","Montevideo","34.53S","056.11W"
"US Virgin Islands","Charlotte Amalie","18.22N","064.56W"
"Uzbekistan","Tashkent","41.16N","069.13E"
"Vanuatu","Port Vila","17.45S","168.18E"
"Vatican City","Vatican City","41.54N","012.27E"
"Venezuela","Caracas","10.35N","066.56W"
"Vietnam","Hanoi","21.01N","105.52E"
"Western Sahara","Laàyoune","27.10N","013.11W"
"Western Samoa","Apia","13.48S","171.45W"
"Yemen","San'a","15.24N","044.14E"
"Yugoslavia","Belgrade","44.50N","020.30E"
"Zaire","Kinshasa","04.18S","015.18E"
"Zambia","Lusaka","15.26S","028.20E"
"Zimbabwe","Harare","17.50S","031.03E"
